codigo_departamento;codigo_municipio;nombre_departamento;nombre_municipio;departamento_guid
13;13620;BOLÍVAR;SAN CRISTÓBAL;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13647;BOLÍVAR;SAN ESTANISLAO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13650;BOLÍVAR;SAN FERNANDO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13654;BOLÍVAR;SAN JACINTO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13655;BOLÍVAR;SAN JACINTO DEL CAUCA;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13657;BOLÍVAR;SAN JUAN NEPOMUCENO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13667;BOLÍVAR;SAN MARTÍN DE LOBA;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13670;BOLÍVAR;SAN PABLO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13673;BOLÍVAR;SANTA CATALINA;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13683;BOLÍVAR;SANTA ROSA;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13688;BOLÍVAR;SANTA ROSA DEL SUR;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13744;BOLÍVAR;SIMITÍ;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13760;BOLÍVAR;SOPLAVIENTO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13780;BOLÍVAR;TALAIGUA NUEVO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13810;BOLÍVAR;TIQUISIO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13836;BOLÍVAR;TURBACO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13838;BOLÍVAR;TURBANÁ;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13873;BOLÍVAR;VILLANUEVA;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13894;BOLÍVAR;ZAMBRANO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
15;15001;BOYACÁ;TUNJA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15022;BOYACÁ;ALMEIDA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15047;BOYACÁ;AQUITANIA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15051;BOYACÁ;ARCABUCO;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15087;BOYACÁ;BELÉN;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15090;BOYACÁ;BERBEO;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15092;BOYACÁ;BETÉITIVA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15097;BOYACÁ;BOAVITA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15104;BOYACÁ;BOYACÁ;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15106;BOYACÁ;BRICEÑO;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15109;BOYACÁ;BUENAVISTA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15114;BOYACÁ;BUSBANZÁ;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15131;BOYACÁ;CALDAS;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15135;BOYACÁ;CAMPOHERMOSO;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15162;BOYACÁ;CERINZA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15172;BOYACÁ;CHINAVITA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15176;BOYACÁ;CHIQUINQUIRÁ;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15180;BOYACÁ;CHISCAS;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15183;BOYACÁ;CHITA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15185;BOYACÁ;CHITARAQUE;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15187;BOYACÁ;CHIVATÁ;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15189;BOYACÁ;CIÉNEGA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15204;BOYACÁ;CÓMBITA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15212;BOYACÁ;COPER;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15215;BOYACÁ;CORRALES;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15218;BOYACÁ;COVARACHÍA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15223;BOYACÁ;CUBARÁ;8ae009cd-eaca-475a-8282-9741ae3017eb
19;19318;CAUCA;GUAPI;2809cb32-e11b-4fa7-b6e7-3ca3d044773c
15;15224;BOYACÁ;CUCAITA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15226;BOYACÁ;CUÍTIVA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15232;BOYACÁ;CHÍQUIZA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15236;BOYACÁ;CHIVOR;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15238;BOYACÁ;DUITAMA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15244;BOYACÁ;EL COCUY;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15248;BOYACÁ;EL ESPINO;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15272;BOYACÁ;FIRAVITOBA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15276;BOYACÁ;FLORESTA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15293;BOYACÁ;GACHANTIVÁ;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15296;BOYACÁ;GÁMEZA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15299;BOYACÁ;GARAGOA;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15317;BOYACÁ;GUACAMAYAS;8ae009cd-eaca-475a-8282-9741ae3017eb
15;15322;BOYACÁ;GUATEQUE;8ae009cd-eaca-475a-8282-9741ae3017eb
